Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Angular Velocity x, Angular Velocity y, Angular Velocity z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering
0, -1.29, 0.4999985, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.1962, 0, 0.06148392, 0, -0.02343884
0.02, -1.29, 0.4960745, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.3924, 0, 0.07835194, 0, -0.02375223
0.0976961, -1.29, 0.4433986, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -0.981, 0, 0.05963538, 0, -0.02348484
0.1053371, -1.29, 0.4348556, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -1.1772, 0, 0.0619461, 0, -0.02349974
0.1611514, -1.29, 0.3567013, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -1.7658, 0, 0.07488587, 0, -0.0235295
0.2053003, -1.29, 0.2727393, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -2.1582, 0, 0.06125274, 0, -0.02353421
0.238892, -1.29, 0.1965351, -32.73, -6.854969E-09, 0.06975646, -1.396983E-09, 0, 0, 0, 0, -2.3544, 0, 0.07604123, 0, -0.02352637
0.2721348, -1.289986, 0.1255181, -32.72978, -0.0004389135, 0.06975719, 2.14582E-05, -0.0389909, 1.898491E-05, 0.004760833, -0.0006936628, -2.017509, -0.003390355, 0.07534805, 0, -0.02353207
0.3054714, -1.289923, 0.06669414, -32.72923, -0.001377211, 0.06975754, 7.131932E-05, -0.07055761, 1.289575E-05, 0.008804406, -0.0002832364, -1.493988, -0.001924928, 0.06055956, 0, -0.02353137
0.3399972, -1.289812, 0.02129278, -32.72834, -0.002697949, 0.06975752, 0.0001439651, -0.08000221, 7.442616E-06, 0.01006573, 7.735158E-06, -1.18514, -6.211153E-05, 0.07581022, 0, -0.02353245
0.3719144, -1.289683, -0.002763693, -32.72733, -0.004049911, 0.06975704, 0.0002212483, -0.08382785, -1.531621E-05, 0.01077288, 0.0003637976, -0.5602893, 0.002988213, 0.06841607, 0, -0.02353165
0.4051086, -1.289551, -0.0127598, -32.7263, -0.005368738, 0.06975621, 0.0002998726, -0.07083764, -2.869565E-05, 0.009376702, 0.0003488657, -0.01171018, 0.003458489, 0.0624081, 0, -0.02353112
0.4388171, -1.289438, -0.008988781, -32.72542, -0.006475541, 0.06975521, 0.0003698913, -0.06077554, -3.067822E-05, 0.008210047, 0.0002747558, 0.2091876, 0.002923847, 0.07812095, 0, -0.02352678
0.4728648, -1.289356, 0.005923387, -32.72482, -0.007253106, 0.06975425, 0.0004243532, -0.03688724, -3.01597E-05, 0.005360185, 0.0001070803, 0.5313351, 0.001358147, 0.06171492, 0, -0.02353138
0.5054266, -1.289313, 0.02600411, -32.72453, -0.007633789, 0.06975348, 0.000457723, -0.007617211, -2.812579E-05, 0.001742464, 1.093824E-05, 0.6843663, 0.0001699637, 0.0621771, 0, -0.02353391
0.5397394, -1.289304, 0.04984352, -32.72454, -0.007621522, 0.06975294, 0.0004702485, 0.006951706, -2.389062E-05, -0.000106726, 3.452766E-05, 0.7024579, 8.814458E-05, 0.07581022, 0, -0.02353251
0.57213, -1.289327, 0.07163678, -32.7248, -0.007218648, 0.0697528, 0.0004589898, 0.03228118, -1.110998E-05, -0.003426042, 0.0001868372, 0.6473382, 0.0009172516, 0.06263927, 0, -0.02352923
0.6043898, -1.289366, 0.09094451, -32.72517, -0.006632387, 0.06975292, 0.0004360522, 0.03860673, 5.388393E-06, -0.004314853, 0.0002201917, 0.529572, 0.001843937, 0.07396169, 0, -0.02352972
0.6399221, -1.289414, 0.108093, -32.7256, -0.005897854, 0.06975327, 0.0004036674, 0.04308467, 9.334509E-06, -0.005006234, 0.0003413237, 0.4461549, 0.002417497, 0.06356346, 0, -0.02352896
0.6722297, -1.28947, 0.1189423, -32.72608, -0.005037568, 0.0697538, 0.0003576401, 0.0572078, 2.131858E-05, -0.007251675, 0.0006183026, 0.2864504, 0.003973339, 0.06125274, 0, -0.02353319
0.7054784, -1.289538, 0.1258089, -32.72662, -0.004064489, 0.06975444, 0.0002999515, 0.05818731, 2.508051E-05, -0.007738051, 0.0006086148, 0.1176916, 0.004632339, 0.07557923, 0, -0.02352841
0.7399139, -1.28961, 0.1283409, -32.72715, -0.003072364, 0.06975509, 0.0002362804, 0.05652203, 2.568319E-05, -0.007687096, 0.0006022867, 0.04157563, 0.004670629, 0.06333245, 0, -0.02353333
0.7729653, -1.289676, 0.1267343, -32.7276, -0.002213275, 0.06975564, 0.000176213, 0.04876127, 2.42682E-05, -0.00696104, 0.0004964048, -0.08366971, 0.004097193, 0.0619461, 0, -0.02352745
0.805529, -1.289735, 0.1226246, -32.72797, -0.001505061, 0.06975609, 0.0001224671, 0.03657147, 1.877466E-05, -0.005558013, 0.0003328318, -0.1654193, 0.002924958, 0.07557923, 0, -0.02352904
0.8385174, -1.289784, 0.1167142, -32.72827, -0.0009615819, 0.06975641, 7.646725E-05, 0.0296317, 1.565081E-05, -0.00470751, 0.0002448117, -0.1898546, 0.00226279, 0.06333245, 0, -0.02352837
0.8711969, -1.28982, 0.1099962, -32.72846, -0.0006282577, 0.0697566, 4.245519E-05, 0.01504951, 7.659766E-06, -0.002823875, 8.268598E-05, -0.2098415, 0.001010137, 0.06471881, 0, -0.02352928
0.906503, -1.289842, 0.1027089, -32.72854, -0.0004793024, 0.06975669, 1.912336E-05, 0.0008343601, -9.530394E-07, -0.0008672157, -3.940029E-05, -0.1984365, 3.144561E-05, 0.07719658, 0, -0.02352225
0.9380337, -1.289848, 0.09671304, -32.72852, -0.0005244355, 0.06975665, 1.077738E-05, -0.005682248, -5.081449E-06, 7.484001E-05, -8.329302E-05, -0.1839651, -0.000332851, 0.06102174, 0, -0.0235256
0.9709613, -1.289834, 0.09073497, -32.72836, -0.0007945376, 0.06975646, 1.923028E-05, -0.0167984, -1.232494E-05, 0.001787105, -8.976048E-05, -0.1891946, -0.0008858828, 0.07511704, 0, -0.0235232
1.004408, -1.289812, 0.08505249, -32.72816, -0.001134353, 0.06975622, 3.476104E-05, -0.02437573, -1.51094E-05, 0.003045716, -0.0001745554, -0.1415826, -0.001138191, 0.07188197, 0, -0.02352444
1.038664, -1.289778, 0.08070815, -32.72788, -0.001579925, 0.0697559, 6.049998E-05, -0.02707393, -1.587988E-05, 0.003537699, -0.0001778666, -0.1145324, -0.001190745, 0.06263927, 0, -0.02353001
