Velocity y,Velocity x,Rotation, Angular Velocity y,Steering transferred,Steering
0,0,0.139626313,0,-0.029781141,-0.04875241
0,0,0.139626313,0,-0.027208876,-0.044541553
0,0,0.139626313,0,-0.027074536,-0.044321635
-6.09E-05,-0.002572484,0.139628393,2.25E-05,-0.027032545,-0.044252896
-0.000120878,0.003520587,0.139626197,-2.62E-05,-0.026987273,-0.044178785
-3.15E-05,0.000393056,0.139620641,-2.94E-05,-0.026950636,-0.044118809
-1.87E-05,0.001658594,0.13961924,1.59E-06,-0.026911702,-0.044055072
-3.32E-05,0.004554788,0.139622165,2.49E-05,-0.026878138,-0.044000127
-7.97E-05,0.00323821,0.139625503,1.99E-05,-0.026875215,-0.043995342
-4.73E-05,0.000248635,0.139626794,1.05E-06,-0.02685774,-0.043966736
-1.53E-05,-0.001103044,0.139625944,-1.40E-05,-0.026848092,-0.043950941
1.72E-06,-0.001146932,0.139623916,-1.34E-05,-0.026843123,-0.043942808
1.03E-05,-0.000814225,0.139622266,-2.80E-06,-0.026838417,-0.043935104
-6.49E-06,-0.000438603,0.139621991,7.62E-06,-0.026831751,-0.043924191
2.17E-05,-0.000178857,0.139622624,7.40E-06,-0.026825447,-0.043913871
2.54E-05,0.000183062,0.139623175,1.43E-06,-0.026817755,-0.043901279
1.13E-05,0.000300341,0.139623255,-4.23E-06,-0.026812914,-0.043893355
-2.47E-06,0.000222142,0.139623025,-4.19E-06,-0.026800517,-0.04387306
-5.42E-06,0.000386111,0.139622924,-8.20E-07,-0.026770746,-0.043824325
-8.78E-06,0.000228379,0.139623164,1.86E-06,-0.02674773,-0.043786646
-5.01E-06,5.13E-05,0.139623446,2.19E-06,-0.026737267,-0.043769519
3.14E-08,-8.61E-05,0.139623596,6.96E-07,-0.026730842,-0.043759001
3.47E-06,-0.000143645,0.139623516,-9.54E-07,-0.024548713,-0.040186806
4.68E-06,-0.000117477,0.139623325,-1.21E-06,-0.015646015,-0.025612885
7.54E-07,-5.16E-05,0.13962149,-5.02E-05,-0.013391041,-0.021921441
3.51E-06,-1.68E-05,0.139619148,-3.51E-05,0.011362369,0.018600459
4.58E-06,1.92E-05,0.139617185,-1.77E-05,0.063487388,0.103930308
2.79E-05,0.005105305,0.139607563,1.58E-05,0.121744415,0.199298396
2.19E-05,0.00070018,0.139606633,-6.39E-05,0.146283756,0.23946986
2.06E-05,0.000667702,0.139600663,-5.72E-05,0.148461831,0.243035418
0.000662348,0.056972185,0.139608426,0.000542901,0.1278165,0.209238538
0.00025229,0.023378958,0.139694411,0.000252817,0.107993473,0.176787789
-4.13E-06,0.00013181,0.139698193,9.34E-06,0.09822451,0.160795774
-2.23E-06,0.000201162,0.139700606,9.73E-05,0.092963784,0.152183844
8.46E-06,0.000113339,0.139701574,-9.57E-05,0.090047914,0.147410498
7.43E-06,5.17E-05,0.139699231,3.03E-05,0.09064877,0.148394114
0.000805408,0.137944123,0.139713963,0.000742073,0.099411426,0.162738782
0.003959026,0.549866333,0.139910275,0.00331057,0.117700036,0.192677655
0.009216321,1.021897321,0.140440041,0.007544861,0.135071108,0.221114499
0.016432153,1.573872203,0.14149479,0.013626086,0.138719749,0.227087408
0.021948721,2.109727267,0.143151386,0.019069937,0.129375426,0.211790536
0.023333497,2.566475663,0.145201405,0.021397692,0.107710102,0.176323904
0.019459343,2.953768435,0.147272866,0.01895488,0.064382177,0.105395099
0.009772917,3.112872819,0.148740458,0.009929256,0.026656701,0.04363763
0.003495161,3.138086738,0.149364807,0.003631265,0.015064101,0.024660279
0.002043586,3.157501858,0.149611602,0.001888517,0.016694637,0.027329503
0.002412814,3.22694849,0.149847356,0.001719621,0.009186404,0.015038354
0.001007105,3.423188711,0.149938378,0.000250239,-0.012720559,-0.020823846
-0.002460922,3.667821553,0.149809109,-0.001433365,-0.046208252,-0.075643967
-0.007926535,3.895847216,0.149448488,-0.006846532,-0.077461982,-0.12680704
-0.016016849,3.997846109,0.148272539,-0.015766929,-0.084421773,-0.138200377
-0.017715841,4.031503514,0.14657158,-0.016991125,-0.069117334,-0.11314666
-0.013888158,4.167782846,0.145030905,-0.013789605,-0.04764876,-0.078002112
